Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-10-13,3,5,1.4709999999999999,1.361,15,11,0.6859999999999999,0.8190000000000001,1071,949,312.83299999999997,273.267,1.1285563751317176,1.18374057331093,1.2258987244052821
2019-10-14,5,9,1.072,3.01,25,22,1.229,1.284,1320,1222,357.18699999999995,286.1,1.0801963993453356,1.131968486328133,1.1994073925755833
2019-10-15,8,11,1.47,1.391,25,10,1.5730000000000002,1.615,1652,1320,405.852,337.10400000000004,1.2515151515151515,1.1917418189216422,1.2088815305647767
2019-10-16,10,4,2.016,0.638,39,15,1.874,1.4569999999999999,1232,1022,366.58099999999996,283.495,1.2054794520547945,1.1986106354882184,1.2082629708356794
2019-10-17,10,6,2.966,3.0869999999999997,27,24,1.683,1.3940000000000001,1234,1007,388.401,273.495,1.2254220456802383,1.2120163405842284,1.211382802625639
2019-10-20,10,7,3.11,0.9590000000000001,47,39,0.7829999999999999,0.935,1321,1014,363.074,271.178,1.3027613412228798,1.257388840903554,1.2279970823707655
2019-10-21,3,3,3.13,1.246,39,29,1.085,1.4140000000000001,1652,1249,443.385,367.44800000000004,1.322658126501201,1.2900234837023774,1.2452081813037192
2019-10-22,8,4,2.5069999999999997,0.889,22,9,1.722,1.59,2140,1564,578.86,459.16900000000004,1.3682864450127876,1.3291549643575826,1.2675860474327973
2019-10-23,4,8,2.739,1.05,41,18,1.287,0.883,1577,1252,474.901,344.54699999999997,1.2595846645367412,1.2943698144471618,1.266131250542597
2019-10-24,6,6,2.62,3.51,27,22,1.321,1.251,1653,1254,507.061,375.639,1.3181818181818181,1.30627581631449,1.2755949901134087
2019-10-27,6,4,1.23,0.98,31,26,1.49,1.395,1665,1234,429.36400000000003,316.385,1.3492706645056727,1.3277732404100813,1.2889905672756898
2019-10-28,4,3,2.332,1.0390000000000001,34,32,1.633,1.169,1531,1208,452.876,372.916,1.2673841059602649,1.297578673185173,1.285062119763782
2019-10-29,7,4,1.6769999999999998,2.044,38,24,1.192,1.033,1781,1360,553.625,444.168,1.3095588235294118,1.3035687483572924,1.289516065902999
2019-10-30,6,5,1.686,2.146,18,11,1.133,1.2570000000000001,1675,1292,449.20300000000003,354.996,1.2964396284829722,1.3000041884201323,1.2907748954629965
2019-10-31,4,6,2.0069999999999997,2.655,23,22,1.015,2.0269999999999997,1535,1298,527.016,410.635,1.1825885978428352,1.2412963931314838,1.2711046595320243
2019-11-03,4,7,2.823,1.3259999999999998,10,8,1.173,0.6940000000000001,1515,1251,594.048,465.473,1.211031175059952,1.2261637840957178,1.260182207809814
2019-11-04,6,2,1.271,2.8369999999999997,9,5,0.857,0.9279999999999999,1438,1128,746.8589999999999,553.692,1.274822695035461,1.2504932395655894,1.2628441145781166
2019-11-05,2,4,1.198,2.136,10,21,1.218,1.476,1564,1246,653.293,534.781,1.2552166934189406,1.252854966492265,1.2614573107309925
2019-11-06,2,1,0.569,1.39,12,8,0.43200000000000005,0.653,1515,1127,604.293,489.35400000000004,1.3442768411712511,1.298565903831758,1.2765154071746876
2019-11-07,3,7,2.296,1.0190000000000001,13,9,0.7879999999999999,0.5920000000000001,1312,991,528.125,369.407,1.3239152371342078,1.3112405704829828,1.285133558076424
2019-11-10,3,3,1.4409999999999998,1.192,34,16,2.035,1.704,1439,1037,432.08099999999996,297.613,1.3876567020250723,1.3494486362540274,1.3037741297034606
2019-11-11,2,6,1.764,1.94,17,19,1.482,0.871,1167,922,339.171,262.389,1.2657266811279826,1.3075876586910051,1.2968564117806436
2019-11-12,5,4,1.5730000000000002,1.5830000000000002,31,21,1.2429999999999999,1.4040000000000001,1376,1145,353.082,258.879,1.2017467248908298,1.2546671917909173,1.279563741437035
2019-11-13,7,4,4.735,1.851,30,18,1.704,1.294,1805,1268,495.398,376.749,1.4235015772870663,1.339084384538992,1.305734257046139
2019-11-14,1,4,1.334,3.8139999999999996,8,13,1.255,0.6509999999999999,1842,1438,587.273,452.648,1.2809457579972183,1.3100150712681051,1.3012272572190613
2019-11-17,2,2,0.878,2.1519999999999997,54,22,1.3519999999999999,1.199,1428,1205,401.52099999999996,311.485,1.1850622406639004,1.2475386559660029,1.280106345118119
2019-11-18,5,3,1.196,2.312,42,19,2.403,1.703,1817,1352,455.02,339.63800000000003,1.3439349112426036,1.2957367836043032,1.2917115389589362
2019-11-19,7,4,1.54,1.482,60,18,1.53,1.534,1745,1217,485.06,377.11699999999996,1.4338537387017256,1.3647952611530143,1.3175555752758104
2019-11-20,3,4,1.415,1.011,31,34,1.875,1.371,1216,868,391.522,340.663,1.400921658986175,1.3828584600695946,1.332713045041333
2019-11-21,6,1,1.537,1.392,26,19,1.425,1.073,1417,965,528.57,404.773,1.4683937823834197,1.4256261212265071,1.3573822700126235
2019-11-24,4,0,3.549,0.49,35,9,1.183,1.189,1413,964,457.694,316.663,1.4657676348547717,1.4456968780406394,1.3770886999839245
2019-11-25,9,4,1.86,0.669,65,48,2.1719999999999997,1.73,1772,1112,525.823,347.108,1.5935251798561152,1.5196110289483773,1.416440787233416
2019-11-26,8,5,1.9480000000000002,1.2309999999999999,39,36,1.787,1.84,1527,1050,532.447,342.341,1.4542857142857142,1.4869483716170457,1.423321683061107
2019-11-28,6,5,2.5,2.276,29,18,1.6280000000000001,1.131,1076,881,345.783,244.825,1.221339387060159,1.3541438793386025,1.3865976292427515
2019-12-01,2,2,1.054,2.049,39,44,1.329,1.46,1054,823,435.358,306.41900000000004,1.2806804374240583,1.3174121583813303,1.3673399580029886
2019-12-02,2,5,0.0,0.888,19,17,1.271,1.358,1593,1310,432.934,375.907,1.216030534351145,1.2667213463662377,1.3398291537026528
2019-12-03,3,8,1.7730000000000001,2.001,25,23,1.345,1.331,1559,1019,472.374,356.26800000000003,1.5299313052011776,1.3983263257837075,1.3743931812478398
2019-12-04,10,5,2.573,1.63,25,26,2.275,1.409,1497,1187,435.47900000000004,319.574,1.2611625947767482,1.329744460280228,1.3538058018894592
2019-12-05,4,6,1.598,3.2430000000000003,44,26,1.591,1.589,1220,977,406.211,319.21299999999997,1.2487205731832138,1.289232516731721,1.3346993966701415
2019-12-08,5,5,1.864,1.1159999999999999,18,11,1.4140000000000001,1.357,1090,831,341.661,257.205,1.3116726835138388,1.3004526001227799,1.3305127215508137
